2025-10-27 14:14:32.787 WARNING (Recorder) [homeassistant.components.recorder.util] The system could not validate that the sqlite3 database at //config/home-assistant_v2.db was shutdown cleanly
2025-10-27 14:14:33.518 ERROR (MainThread) [habluetooth.manager] Missing required permissions for Bluetooth management: Missing NET_ADMIN/NET_RAW capabilities for Bluetooth management. Automatic adapter recovery is unavailable. Add NET_ADMIN and NET_RAW capabilities to the container to enable it
2025-10-27 14:14:33.521 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:14:34.023 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:14:34.024 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:14:39.113 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:14:44.095 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:14:59.558 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:15:24.346 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:16:19.770 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:16:44.449 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:17:39.825 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:18:04.679 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:19:00.148 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:19:25.127 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:20:20.525 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:20:45.302 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:21:40.627 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:22:05.626 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:23:00.987 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:23:25.811 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:24:21.051 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
